PCCO;STRAATNAAM;HSNR.;TOEVOEG;POSTCD;PLAATS;STATUS
J16610170 ;RIDDER VAN CATSWEG;170;;2805BB;GOUDA;C
;;;;;;C
J16610176 ;RIDDER VAN CATSWEG;176;;2805BB;GOUDA;C
;;;;;;C
J16610383 ;RIDDER VAN CATSWEG;383;;2804RJ;GOUDA;C
;;;;;;C
J16860081 ;BLOEMENDAALSEWEG;81;;2803AW;GOUDA;C
;;;;;;C
J18760028 ;CONIFERENSINGEL;28;;2803JH;GOUDA;C
;;;;;;C
J24360010 ;GENTSEWEG;10;;2803PC;GOUDA;C
;;;;;;C
J24460003 ;ANTWERPSEWEG;3;;2803PB;GOUDA;C
;;;;;;C
J24460013 ;ANTWERPSEWEG;13;;2803PB;GOUDA;C
;;;;;;C
J24460014 ;ANTWERPSEWEG;14;;2803PB;GOUDA;C
;;;;;;C
J24870004 ;HANZEWEG;4;;2803MC;GOUDA;C
;;;;;;C
J26460060 ;WEERESTEIN;60;;2804GJ;GOUDA;C
;;;;;;C
J26860054 ;BRITTENBURG;54;;2804ZZ;GOUDA;C
;;;;;;C
J26910007 ;MEERBURGSTRAAT;7;;2804ZB;GOUDA;C
;;;;;;C
J26910014 ;MEERBURGSTRAAT;14;;2804ZE;GOUDA;C
;;;;;;C
J27160014 ;HOOGENBURG;14;;2804ZR;GOUDA;C
;;;;;;C
J27160026 ;HOOGENBURG;26;;2804ZR;GOUDA;C
;;;;;;C
J27770002 ;LEKKENBURG;2;2;2804XC;GOUDA;C
;;;;;;C
J28060016 ;RIJNLUST;16;;2804LC;GOUDA;C
;;;;;;C
J28110019 ;LANDLUSTSTRAAT;19;;2804KK;GOUDA;C
;;;;;;C
J34210050 ;KLEIWEG;50;;2801GH;GOUDA;C
;;;;;;C
J34210052 ;KLEIWEG;52;;2801GH;GOUDA;C
;;;;;;C
J34210052A;KLEIWEG;52;A;2801GH;GOUDA;C
;;;;;;C
J34210054 ;KLEIWEG;54;;2801GH;GOUDA;C
;;;;;;C
J34210054A;KLEIWEG;54;A;2801GH;GOUDA;C
;;;;;;C
J34210071 ;KLEIWEG;71;;2801GD;GOUDA;C
;;;;;;C
J34210074 ;KLEIWEG;74;;2801GJ;GOUDA;C
;;;;;;C
J34210076 ;KLEIWEG;76;;2801GJ;GOUDA;C
;;;;;;C
J34210083 ;KLEIWEG;83;;2801GD;GOUDA;C
;;;;;;C
J34210084 ;KLEIWEG;84;;2801GJ;GOUDA;C
;;;;;;C
J34210084A;KLEIWEG;84;A;2801GJ;GOUDA;C
;;;;;;C
J34210084B;KLEIWEG;84;B;2801GJ;GOUDA;C
;;;;;;C
J34810019 ;HOUTMANSGRACHT;19;;2801XC;GOUDA;C
;;;;;;C
